iter	Passed	Remaining
777	1894	241637
778	1896	241595
779	1898	241556
780	1901	241517
781	1903	241478
782	1905	241450
783	1907	241419
784	1909	241401
785	1912	241390
786	1914	241392
787	1917	241418
788	1920	241440
789	1922	241445
790	1925	241445
791	1927	241445
792	1929	241448
793	1932	241454
794	1935	241465
795	1937	241467
796	1940	241478
797	1942	241485
798	1944	241471
799	1947	241450
800	1949	241436
801	1951	241421
802	1954	241408
803	1956	241399
804	1958	241393
805	1961	241376
806	1963	241361
807	1965	241350
808	1968	241330
809	1970	241309
810	1972	241293
811	1975	241275
812	1977	241244
813	1979	241213
814	1981	241197
815	1984	241179
816	1986	241150
817	1988	241129
818	1990	241106
819	1993	241088
820	1995	241070
821	1997	241056
822	2000	241065
823	2002	241049
824	2005	241046
825	2007	241021
826	2009	241011
827	2013	241127
828	2015	241119
829	2018	241116
830	2020	241119
831	2022	241122
832	2025	241128
833	2027	241124
834	2030	241120
835	2032	241112
836	2035	241110
837	2037	241114
838	2040	241118
839	2042	241108
840	2044	241097
841	2047	241128
842	2049	241120
843	2052	241113
844	2054	241115
845	2057	241116
846	2059	241112
847	2062	241114
848	2064	241112
849	2066	241097
850	2069	241083
851	2071	241076
852	2073	241063
853	2076	241047
854	2078	241041
855	2080	241024
856	2083	241014
857	2085	240995
858	2088	240987
859	2090	240980
860	2093	240997
861	2095	240976
862	2097	240955
863	2099	240928
864	2102	240911
865	2104	240886
866	2106	240857
867	2108	240836
868	2111	240830
869	2113	240827
870	2116	240823
871	2118	240845
872	2121	240850
873	2123	240846
874	2126	240866
875	2128	240890
876	2131	240903
877	2133	240913
878	2136	240912
879	2138	240920
880	2141	240927
881	2143	240927
882	2146	240912
883	2148	240892
884	2150	240883
885	2153	240881
886	2155	240882
887	2158	240888
888	2160	240879
889	2163	240876
890	2165	240859
891	2167	240852
892	2170	240833
893	2172	240815
894	2174	240811
895	2177	240794
896	2179	240770
897	2181	240756
898	2183	240736
899	2186	240729
900	2188	240719
901	2191	240718
902	2193	240706
903	2195	240707
904	2198	240746
905	2201	240761
906	2203	240776
907	2206	240779
908	2208	240780
909	2211	240773
910	2213	240760
911	2215	240748
912	2218	240735
913	2220	240715
914	2222	240690
915	2224	240669
916	2227	240639
917	2229	240612
918	2231	240583
919	2233	240551
920	2235	240526
921	2238	240500
922	2240	240489
923	2242	240476
924	2245	240472
925	2247	240455
926	2249	240432
927	2251	240418
928	2254	240402
929	2256	240390
930	2258	240372
931	2262	240494
932	2266	240640
933	2270	240806
934	2272	240811
935	2275	240803
936	2277	240794
937	2279	240789
938	2282	240781
939	2284	240762
940	2286	240749
941	2289	240736
942	2291	240711
943	2293	240696
944	2296	240671
945	2298	240654
946	2300	240645
947	2302	240600
948	2305	240595
949	2307	240590
950	2310	240596
951	2312	240610
952	2315	240623
953	2317	240623
954	2320	240619
955	2322	240618
956	2324	240615
957	2327	240604
958	2329	240571
959	2331	240563
960	2334	240539
961	2336	240517
962	2338	240494
963	2340	240477
964	2343	240459
965	2345	240439
966	2347	240426
967	2349	240403
968	2352	240376
969	2354	240358
970	2356	240344
971	2358	240334
972	2361	240313
973	2363	240304
974	2365	240296
975	2368	240295
976	2370	240299
977	2373	240300
978	2375	240293
979	2377	240262
980	2380	240254
981	2382	240253
982	2385	240249
983	2387	240255
984	2390	240256
985	2392	240249
986	2394	240240
987	2397	240235
988	2399	240220
989	2401	240199
990	2404	240255
991	2407	240238
992	2409	240215
993	2412	240303
994	2414	240286
