iter	Logloss	Accuracy	Recall	Precision	F1
205	0.2517069731	0.9583333333	0.9590163934	0.9590163934	0.9590163934
206	0.2510919449	0.9591666667	0.9598360656	0.9598360656	0.9598360656
207	0.2498640717	0.9616666667	0.9606557377	0.9638157895	0.9622331691
208	0.2487590786	0.9633333333	0.9614754098	0.9662273476	0.9638455218
209	0.247640218	0.9641666667	0.9631147541	0.9662828947	0.9646962233
210	0.2468179833	0.96375	0.9631147541	0.9654889071	0.9643003693
211	0.2458242465	0.9625	0.9639344262	0.9623567921	0.9631449631
212	0.2443983203	0.9620833333	0.962295082	0.9630844955	0.9626896269
213	0.2432222342	0.9629166667	0.9631147541	0.96390484	0.9635096351
214	0.2421163339	0.9625	0.962295082	0.9638752053	0.9630844955
215	0.2413057182	0.9641666667	0.962295082	0.9670510708	0.9646672145
216	0.2401098076	0.9654166667	0.9655737705	0.9663658737	0.9659696597
217	0.2396767007	0.965	0.9647540984	0.9663382594	0.9655455291
218	0.2391706392	0.96375	0.962295082	0.966255144	0.9642710472
219	0.2374195927	0.9658333333	0.9663934426	0.9663934426	0.9663934426
220	0.2362938927	0.96625	0.9680327869	0.9656582175	0.9668440442
221	0.235276524	0.9670833333	0.9672131148	0.9680065628	0.9676096761
222	0.2342725547	0.9675	0.9663934426	0.9695723684	0.9679802956
223	0.2333018512	0.9675	0.9663934426	0.9695723684	0.9679802956
224	0.2324712278	0.9679166667	0.9663934426	0.9703703704	0.9683778234
225	0.232114309	0.9691666667	0.9672131148	0.9719934102	0.9695973706
226	0.2311919938	0.96875	0.9672131148	0.9711934156	0.9691991786
227	0.2300123845	0.9695833333	0.9680327869	0.9720164609	0.9700205339
228	0.2291349194	0.97	0.9680327869	0.9728171334	0.9704190633
229	0.2285751901	0.9704166667	0.9680327869	0.9736191261	0.9708179203
230	0.2276414802	0.9695833333	0.9672131148	0.9727947238	0.9699958898
231	0.2264154026	0.9704166667	0.9672131148	0.9744013212	0.970793912
232	0.2259068181	0.9695833333	0.9680327869	0.9720164609	0.9700205339
233	0.2252131319	0.9708333333	0.9704918033	0.9720853859	0.9712879409
234	0.2238331971	0.9716666667	0.9721311475	0.9721311475	0.9721311475
235	0.2230485381	0.9720833333	0.9721311475	0.97292863	0.9725297253
236	0.2223324709	0.97375	0.9729508197	0.9753492194	0.9741485433
237	0.2215086942	0.9733333333	0.9737704918	0.9737704918	0.9737704918
238	0.2208116376	0.9754166667	0.9745901639	0.9769926048	0.9757899056
239	0.2199987957	0.9754166667	0.9754098361	0.9762100082	0.9758097581
240	0.2186320734	0.9754166667	0.9754098361	0.9762100082	0.9758097581
241	0.2176697431	0.97625	0.9754098361	0.9778142975	0.9766105868
242	0.2166691159	0.97375	0.9737704918	0.9745693191	0.9741697417
243	0.216418955	0.97375	0.9729508197	0.9753492194	0.9741485433
244	0.2159182194	0.9729166667	0.9729508197	0.9737489746	0.9733497335
245	0.2154923368	0.9733333333	0.9721311475	0.9753289474	0.973727422
246	0.2148481068	0.9725	0.9713114754	0.9745065789	0.9729064039
247	0.2144011513	0.97375	0.9745901639	0.9737919738	0.9741909054
248	0.2136982609	0.9754166667	0.9754098361	0.9762100082	0.9758097581
249	0.2132292344	0.9758333333	0.9762295082	0.9762295082	0.9762295082
250	0.2119581153	0.975	0.9762295082	0.9746317512	0.9754299754
251	0.2113676967	0.9754166667	0.9762295082	0.9754299754	0.975829578
252	0.2109963406	0.9754166667	0.9762295082	0.9754299754	0.975829578
253	0.2100747324	0.9758333333	0.9754098361	0.9770114943	0.9762100082
254	0.2090836668	0.9758333333	0.9754098361	0.9770114943	0.9762100082
255	0.2083251963	0.97625	0.9745901639	0.978600823	0.9765913758
256	0.2075584413	0.9770833333	0.9754098361	0.9794238683	0.977412731
